Updated 03/13/26 at 11:32pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue
Calvin Ridley,WR119,WR,TEN,2010,31.2,No,WR115,1710
Noah Gray,TE45,TE,KCC,2010,26.9,No,TE44,1708
Jordan Whittington,WR120,WR,LAR,2006,25.4,No,WR117,1658
Calvin Austin III,WR121,WR,PIT,1992,27.0,No,WR125,1603
Jimmy Horn,WR122,WR,CAR,1991,23.5,No,WR124,1605
Isaac Guerendo,RB84,RB,SFO,1987,25.7,No,RB83,1708
Darius Slayton,WR123,WR,NYG,1956,29.2,No,WR121,1612
2027 Mid 4th,,PI,,1943,,,,1743
Jahan Dotson,WR124,WR,ATL,1929,26.0,No,WR119,1652
Bam Knight,RB85,RB,ARI,1916,24.9,No,RB88,1507
2026 Mid 4th,,PI,,1912,,,,1688
Michael Trigg,TE46,TE,FA,1892,-1.0,Yes,TE51,1405
Joshua Palmer,WR125,WR,BUF,1890,26.5,No,WR122,1610
Jonnu Smith,TE47,TE,FA,1887,30.6,No,TE46,1540
Jaleel McLaughlin,RB86,RB,DEN,1883,25.5,No,RB87,1525
Treylon Burks,WR126,WR,WAS,1879,26.0,No,WR127,1539
Jerome Ford,RB87,RB,CLE,1872,26.5,No,RB85,1537
2027 Late 4th,,PI,,1859,,,,1601
2028 Early 4th,,PI,,1837,,,,1637
Devin Singletary,RB88,RB,NYG,1828,28.5,No,RB89,1504
Kendrick Bourne,WR127,WR,ARI,1826,30.6,No,WR126,1561
2026 Late 4th,,PI,,1822,,,,1588
Daniel Bellinger,TE48,TE,TEN,1821,25.5,No,TE45,1561
Ja'Lynn Polk,WR128,WR,NOS,1812,23.9,No,WR123,1610
Xavier Restrepo,WR129,WR,TEN,1807,23.9,No,WR129,1530
Kevin Coleman,WR130,WR,FA,1794,-1.0,Yes,WR137,1357
Tommy Tremble,TE49,TE,CAR,1789,25.8,No,TE49,1442
Noah Fant,TE50,TE,NOS,1787,28.3,No,TE47,1526
Efton Chism,WR131,WR,NEP,1784,24.4,No,WR128,1532
Raheim Sanders,RB89,RB,CLE,1775,23.8,No,RB86,1533
Jalen Tolbert,WR132,WR,DAL,1761,27.0,No,WR131,1465
Konata Mumpfield,WR133,WR,LAR,1755,23.4,No,WR132,1454
